location,address,phone_number,ratings,ratings_count
Marenhalli Road,"R J Arcade, Ground Floor, 27th Main,100ft Ring Road Jayanagar, 9th Block, Opposite Metro Pillar #87, Besides Jawa Bikes, Bengaluru, Karnataka, 560069",7290016070,4.9,1420
Siddhartha Layout,"176, Gani Complex, Dr. Rajkumar Rroad, Raghavendra And Nazarbad Mohalla, Opposite Shubodaya Hospital, Mysuru, Karnataka, 570011",8929442765,4.9,1213
Jawahar Nagar,"Shop No 2, UA/29 Bungalow Road, Opposite Hansraj Girls Hostel, Jawahar Nagar, Delhi, 110007",8929811423,4.8,1491
Paschim Vihar,"Shop No A3/182, Ground Floor, Paschim Vihar, New Delhi, 110063",7428891110,4.8,856
Model Town,"Shop No 2, H4/6, Ground Floor, Model Town, New Delhi, 110009",7428891111,4.9,797
Old Rajendar Nagar,"Shop No 6/80, Ground Floor, Shankar Road, Old Rajendar Nagar, New Delhi, 110060",7428891112,4.8,948
Geeta Colony,"Shop No 11/13, Ground Floor, Geeta Colony, Delhi, 110031",9643075085,4.8,417
Vasundhra Enclave,"Vardhman Sunrise Plaza, Vasundhara Enclave, New Delhi, 110096",8929302372,4.9,493
Sangli Road,"Shop No B03, Rs No 673/B/2, Balwant Plaza, Hatkanangle, Sangli Road, Ichalkaranji, Maharashtra, 416121",9311773751,4.9,899
Bhandup West,"Shop No 5, Ground Floor, Gaurai Arcade, Lbs Marg, Bhandup West, Near Domino'S Pizza, Mumbai, Maharashtra, 400078",7428891160,4.7,908
Nirala Bazar,"Shop No 43 & 44, Samarth Nagar, Nirala Bazar, Opposite M.P Law College, Aurangabad, Maharashtra, 431001",8448440317,4.9,1604
Tembhode Road,"Shop No 2 & 3, Neel Srushti Complex, Tembhode Road, Palghar West, Opposite Reliance Smart Superstore, Palghar, Maharashtra, 401404",7065045109,4.9,909
Pimple Saudagar,"Shop No 2, Dwarka Queen'S Park, Pimple Saudagar, Near Shivar Chowk, Pimple Saudagar, Near Shivar Chowk, Pune, Maharashtra, 411017",9873291433,4.7,1002
Akashwani Chowk,"Shop No 3 & 4, Ahinsa Bhawan, Plot No 1, Ahinsa Nagar, Akashwani Chowk, Jalna Road, Beside Wellness Forever, Aurangabad, Maharashtra, 431001",8929264486,4.9,1241
Begur Main Raod,"149, Hongasandra, Begur Main Road, Hongasandra, Begur Main Raod, Bengaluru, Karnataka, 560068",8587908948,4.8,691
Mantri Mall Malleswaram,"Lg1, Ground Floor, Mantri Square Mall, Sampige Road, Malleswaram, Bengaluru, Karnataka, 560003",9718430381,4.9,1449
Mudhol,"C S No 3132/2B And 3141/2, Ground Floor, First Main Road, Mudhol, Karnataka, 587313",8929337327,5.0,1868
Gopalan Signature Mall,"Shop No 6, 1St Floor, Gopalan Signature Mall, Cv Raman Nagar, Opposite Rmz Infinity, Old Madras Road, Bengaluru, Karnataka, 560038",7428891163,4.8,1053
RK Hegde Nagar,"Site No 74, M.C.E.C.H.S Layout, 1St Phase, Rk Hegde Nagar, Behind Karnataka Bank, Bengaluru, Karnataka, 560077",8929288248,4.9,1071
Kaggadasapura,"Ground Floor 191/3, Kaggadasapura Main Road, Ward No 83, CV Raman Nagar, Pid No 83-53 191/3, Bengaluru, karnataka, 560093",9582368345,4.9,1819
"Sector 6, Dwarka","Shop No OG1 & OG2, Odion Plaza, Plot No 2, Sector 6 Central Market, Dwarka, New Delhi, 110075",7428891124,4.9,807
Vikaspuri,"Shop No 407, Soniapur, Block Kg 1, Near Pvr Vikaspuri, Vikaspuri, New Delhi, 110018",7428891125,4.9,1054
East Patel Nagar,"Shop No 18/30, Ground Floor, East Patel Nagar, New Delhi, 110008",7428891126,4.7,725
Naraina Vihar,"Shop No E- 36 A, Block E, Naraina Vihar, New Delhi, 110028",7428891127,4.9,2144
Sector 7 Rohini,"Property No 1, Pocket No C 9, Sector 7, Rohini, Near Rohini East Metro Station, New Delhi, 110031",8447731771,4.9,1185
Dwarka Mor,"Shop No C-1/4&5, Ground Floor, Rama Park, Nawada, Uttam Nagar, Near Dwarka Mor Metro Station, New Delhi, 110059",8447892802,4.9,421
Sanquelim,"Shop No 9 & 10, Krishna Kunj, opposite Radhakrishna Temple, Gokulwadi, Desai Nagar, Sanquelim, Goa, 403505",9654953797,4.9,85
Karve Road Pune,"Ground Floor, Universal House Naka, Near Dr. Ambedkar Chowk, Warje Jakat Naka, Karve Road, Pune, Maharashtra, 411058",9975186402,4.6,10
GNP Arcadia,"Store No 15, Gnp Arcadia, Sudarshan Nagar, Sudarshan Nagar, Near Pendharkar College, Dombivli, Maharashtra, 421203",8929331361,4.9,737
Sector 7 Kharghar Navi Mumbai,"Shop No 56, Plot No 15 & 17, Patel Heritage, Sector 7, Opposite Hiranandani Crystal Plaza, Kharghar, Navi Mumbai, Maharashtra, 410210",8655611094,4.7,16
Kalyan Khadakpada Circle,"Shop No 8, B Wing, Shree Swamiprasad Chs, Khadakpada Circle, Near Mcdonald'S, Kalyan, Maharashtra, 421301",7428891172,4.7,917
Kharghar,"Shop No 1, Parth CHS, Plot No 228, Sector 13, Kharghar, Near Shilpa Chowk, Navi Mumbai, Maharashtra, 410210",7428890127,4.6,421
Solapur,"Shop No 370, Main Road, South Kasba, Opposite Unique Hospital, Solapur, Maharashtra, 413007",7428890128,4.8,979
Flagship Store at BTM Layout,"Shop No 938, 16Th Main Road, Btm 2Nd Stage, Stage 2, Btm Layout, Btm Layout, Bengaluru, Karnataka, 560076",7428891164,4.8,2645
Horamavu,"Building No 33, Horamavu Main Road, Banasawadi, Horamavu, Opposite Poorvika Mobiles, Bengaluru, Karnataka, 560043",9319367919,4.8,483
Sindhanur,"C M C No- 6-1-1926, Ashapuri Complex, Gangavathi Road, Sindhanur, Opposite Axis Bank, Raichur, Karnataka, 584128",8929338697,5.0,2126
Malleshpalya CV Raman Nagar,"No 38/1 9Th Main, New Thippsandra Post, Malleshpalya, Near Nile Institue Of Languages And Education, Bengaluru, Karnataka, 560075",7303161162,4.9,1654
Konanakunte,"Anjanapura Main Road, Konanakunte Cross, Konanakunte, Opposite Hdfc Bank, Bengaluru, Karnataka, 560062",8929266341,4.9,1697
Koramangala 5th Block,"No 8, 5th Cross Road, KHB Colony, 6th Block, Koramangala, Bengaluru, Karnataka, 560095",9811036731,4.8,502
Amar Colony,"C 8 Amar Colony Market, Amar Colony, New Delhi, 110024",7303157158,4.8,730
Sector 17 Rohini,"A 25 & 26, Ground Floor, Pocket 1, Sector 17, Rohini, Delhi, 110089",7065045112,4.9,1335
SDA Market,"Shop No C 15/A, SDA Market, Near Chaayos, Delhi, 110016",9319372677,4.9,1242
"Sector 9, Rohini","Shop No G9 & G10, Vikas Surya Tower, Sector 9, DC Chowk, Rohini, New Delhi, 110085",7428891149,4.9,920
Kalkaji,"Shop No H10 A, Ground Floor, Kalkaji Main Market, New Delhi, 110019",7428891153,4.8,1040
Flagship Store MG Road,"Ground Floor, H No 13/15/1A, 13/15/1, 13/15/1B, La Capitol Hotel, Mg Road, Panaji, Near Custom House Museum, Panaji, Goa, 403001",9319369448,4.8,982
Margao,"B-SH-1, B-SH-7, Building B, Lotus Heights, Near Carmelite Church, Malbhat, Aquem, Margao, Goa, 403601",9811039460,4.7,187
Margao Goa,"Shop No 7 and 8, Ground Floor, Reliance Magnum, Opposite KTC Bus Stand, Margao, Goa, 403601",9582813692,5.0,11
Vasco Da Gama Goa,"Shop No 2, Prime Citiplex Building, Vasco Da Gama, Goa, 403802",8326712250,,0
Khorlim,"Shop No 10, Ground Floor, Buildmore Business Park, Chalta No 5, Khorlim, Mapusa, Goa, 403507",9582516632,4.9,70
Mannarkkad,"# 2/537, 540, 541, Kozhikode Road, Kodathipadi, Mannarkkad PO, Mannarkkad, Kerala, 678583",8929304266,4.9,547
Bhandup West,"Shop No 4, Srishti Solitaire, Lal Bahadur Shastri Road, Sadan Wadi, Bhandup West, Mumbai, Maharashtra, 400078",9899412296,4.9,548
Baner,"CTS No 100, Shop No 1&2, Shinde Sarkar, Next to Shree Chatrapati Shivaji Maharaj Statue, Main Baner Road, Baner, Pune, Maharashtra, 411007",7428890130,4.8,395
Linking Road Bandra,"Shop No 5 & 6, Swarna Rekha, Linking Road, Bandra West, Linking Road, Near Khar Telephone Exchange, Mumbai, Maharashtra, 400052",9582211424,4.8,2983
Chikuwadi Borivali West,"Sumit Garden Grove Daigonally, Chikuwadi, Borivali West, Opposite Pheonix Hospital, Mumbai, Maharashtra, 400092",8447893951,4.8,1889
Dharwad,"Ground Floor, Pb Road, Near Jubilee Circle Bus Stop, Court Circle, Dharwad, Karnataka, 580001",8448440316,4.9,4662
Jakkur,"Plot No 222, Survey No 98/3, 7Th Block, Jakkur Arkavathy Layout, Bengaluru, Karnataka, 560064",8929341208,4.8,694
Lulu Global Mall,"Lulu Global Mall, Minerva Mills Compound, Rajajinagar, Opposite Sujata Theatre, Bengaluru, Karnataka, 560023",8447821159,4.9,901
Anekal Town,"7, Old Mysore Bank Road, Anekal Town, Bengaluru, Karnataka, 562106",8929345106,4.9,578
Flagship Store at JP Nagar,"Shop No 300, Outer Ring Road, 5Th Phase, 15Th Cross Road, Jp Nagar, Near Cafe Coffee Day, Bengaluru, Karnataka, 560078",7428890132,4.9,4520
"Sector 8, RK Puram","Shop No 14, Main Market, Sector 8, Near HDFC Bank, RK Puram, New Delhi, 110022",7428891154,4.8,1040
Kapashera Border New Delhi,"Shop No 8, Ground Floor, khasra No 1285, Near Fun and Food Village, Kapashera Border, New Delhi, 110037",1149073860,,0
Janakpuri District Centre,"Shop No G2 B, Janak Place, Janakpuri District Centre, New Delhi, 110058",7428891155,4.7,579
Green Park Main Market,"S2B, Ground Floor, Green Park Main Market, Near Bandhan Bank, New Delhi, 110016",7428891156,4.6,636
Candolim,"Pintos Vaddo, Candolim, Calangute, Opposite Foodball Ground, Goa, 403515",9582855741,4.9,98
Westside Madgaon,"Unit No AS 07, Ground Floor, Gogal Vista, Gogal, Margoa, Goa, 403610",9582922851,5.0,159
Dabolim,"Shop No 12, Umiya Quatro Plot D, Block B, Dabolim, Opposite Goa International Airport, Dabolim, Goa, 403801",8929176484,4.7,327
Panaji,"Shop No 4, Duke Elite, 18 June Road, Panaji, Near St. Inez Church, Panaji, Goa, 403001",7428891377,4.7,742
Mapusa Bata,"Ground Floor, Bhairao Building, opposite Municipal Market, Mapusa, Goa, 403507",9582240759,5.0,122
High School Junction Kollam,"Block No 210, High School Junction, Near Skycell, West Taluk, Kollam, Kerala, 691009",9873916538,5.0,65
Lulu Mall,"Tc 91,270, Lulu International Shopping Mall, Akkulam Bridge, Anayara Post, Akkulam Bridge, Opposite Kerala Hotel, Thiruvananthapuram, Kerala, 695029",7065034186,4.9,1776
Kondotty,"Door No 6, Ground Floor, Athikavil Building, Palakkad Highway, Kondotty Malappuram, Kondotty, Opposite Bsnl Office, Malappuram, Kerala, 673638",8929676204,4.9,1650
Maradu,"Building No 17/219-2& 17/219-3, Old No, 12/210-2 & 12/210-3 , Ground Floor, Nelko Square, Pandavath Junction, Maradu, Near Ps Mission Hospital, Kochi, Kerala, 682304",8929215466,4.9,737
Kadavanthara,"Building No 37/442, Ishaan Enterprises, Kadavanthara Road, Kaloor, Ernakulam, Near Akshya Hospital, Kochi, Kerala, 682020",7428890036,4.8,4458
Vatakara,"Union Bank Complex, Edodi Road, Vatakara, Near Union Bank, Kozhikode, Kerala, 673101",9870542543,4.9,1573
Thane Mulund East,"Shop No 01, Romel Vasanthi, Navghar Road, Eastern Express Hwy, Near Mulund Gymkhana, Deendayal Nagar, Mulund East, Mumbai, Maharashtra, 400081",9811076478,4.9,381
Oberoi Mall,"Shop No 6, Second Floor, Oberoi Mall, Yashodham Goregaon, Western Express Highway, Near Dindoshi Bus Stand, Mumbai, Maharashtra, 400063",9650611440,4.8,2264
Navare Ambernath East,"Ground Floor, Shop No 8 Tulip A, Project Nisarg Green, Near wellness forever, Cabin Road, Plot No RH1, Ambernath Industrial Area, Ambernath East, Munic, Mumbai, Maharashtra, 421503",9811038596,5.0,1
Sion Koliwada Mumbai,"Shop No 6 & 7, Hub Town Vedant, Sardar Nagar No 4, Mukundrao Ambedkar Road, GTB Nagar, Sion Koliwada, Mumbai, Maharashtra, 400037",8850111402,,0
Flagship Store at Marathahalli,"G3/G4, Sigma Arcade, Marathahalli, Near Tulsi Theatre, Bengaluru, Karnataka, 560037",7428890133,4.9,6462
New Bel Road,"Shop No 11, Ground Floor, 2Nd Stage, New Bel Road, Chikkamaranahalli, Near Ramachandra Convention Hall, Bengaluru, Karnataka, 560094",7428890134,4.9,2341
Moodalapalya,"No 166, Moodalapalya, Nagarbhavi Main Road, Madhura Nagar, Moodalapalya, Bengaluru, Karnataka, 560070",8447822969,4.9,1260
SIT Tumkur,"No 2164/796, Sit Main Road, Near 11Th Cross, Tumkur, Karnataka, 572103",8929344598,4.8,3004
Flagship Vidyaranyapura Road,"1242, Bel Layout, Vidyaranyapura Road, Opposite First Block Bus Stop, Bengaluru, Karnataka, 560097",7428890144,4.9,3140
HSR Layout,"2799/2800, Ground Floor, 27th Main, Sector 1, HSR Layout, Bengaluru, Karnataka, 560102",9718519385,4.9,764
Durgapuri,"1449/118B, Main 100 Ft Road, Shahdara, Durgapuri, Delhi, 110093",8376908797,4.8,731
Masoodpur Vasant Kunj,"Shop No C9, Masoodpur, Opposite Mother Dairy, Vasant Kunj, New Delhi, 110070",7428891161,4.6,783
"Lal Quarters, Krishna Nagar","Shop No B 6/1, Mandir Lane, Lal Quarters, Krishna Nagar, New Delhi, 110051",7428891162,4.6,482
Narela,"Khasra No 123, Main Arya Samaj Road, Pana Mamurpur, Near Ramdev Chock, Narela, Delhi, 110040",8375819311,4.8,193
Flagship Store Greater Kailash 2,"Plot No 38, Ground Floor, M Block, Greater Kailash 2, New Delhi, 110048",8929330350,4.9,361
"Hudson Lane, GTB Nagar","Shop No 2513, Ground Floor, Hudson Lane, GTB Nagar, New Delhi, 110009",7428891175,4.8,1862
Pacific Mall Dwarka,"Shop No Sh/Gf/07, Ground Floor, Pacific Mall, Metro Station Line 3, Near Metro Station Entry Gate, Sector 21, Dwarka, Delhi, 110077",8588931408,4.9,545
Hill Palace,"Shop No 19/1011 B, Hill Palace, Nediyathu N Square, Market Junction, Kizhakekotta, Thrippunithura, Kerala, 682301",8447906956,4.7,366
Palakkad,"Building No 23/596-10, Stadium Bypass Road Palakkad, Near Reliance Digital, Palakkad, Kerala, 678001",9319374483,4.9,2537
Edakkara,"#10/1358,Near Chemmanur Jellewery, Cng Road, Edakkara, Near Chemmanur Jellewery, Malappuram, Kerala, 679331",8929346343,5.0,1382
Angamaly,"Shop No 25/74, Kizhakkumthal Building, Bank Junction, Nh 47, Angamaly, Opposite South Indian Bank, Cochin, Kerala, 683572",7303328329,4.8,862
Nedumangad,"Old No 14/199, New No 28/389 Vattom, Karakkode Vadakkum Kara Inam Panddarappattom, Hospital Road, Nedumangad, Thiruvanthapuram, Kerala, 695541",9718309046,4.9,1696
Info Park Road,"IMG Junction, Info Park Road, kakkanad, Near Professional Couriers, Cochin, Kerala, 682030",7291993948,4.9,1776
Tilak Nagar,"Shop No 11, Krushal Tower, Tilak Nagar, Gm Road, Mumbai, Maharashtra, 400089",9873669399,4.9,1305
Hudkeshwar,"Shop No 111, Ram Bhau Bus Stop, Hudkeshwar Road, New Neharu Nagar, Near Mhalgi Nagar, Nagpur, Maharashtra, 440034",9873765896,4.9,1393
Yash Padma Arcade,"Shop No 9, Yash Padma Arcade, Tarapur Road, Sainath Nagar, Bhandarwada, Tarapur Road, Boisar, Maharashtra, 401501",8929266390,4.9,735
Kohtrud,"Unit 6/7, Ground Floor, Trinity Ventures, Silver Fern, Kohtrud, Opposite Kothrud Bus Stand Road, Pune, Maharashtra, 411038",7428890136,4.8,1886
Sai Miracle Kharghar,"Shop No 7 Plot No 16, 17 / 19, Sector 34 E, Sector 35E, Kharghar, Near Hdfc Bank, Navi Mumbai, Maharashtra, 410210",8929261783,4.9,340
Dattawadi Pune," Shop No 3, Shree Vishnu Complex, P L Deshpande Garden, Sinhgad Road, Sarita Vihar, Dattawadi, Pune, Maharashtra, 411051",9975186433,,0
GNP Galaxy Ambernath,"Unit No 23, Gnp Galaxy, Ambernath Industrial Estate, Kalyan Badlapur Road, Ambernath West, Opposite Ordnance Factory, Thane, Maharashtra, 421501",8929330739,4.9,701
Parsik Nagar Kalwa Thane,"Shop No 7 & 8, Shree Gopinath Sublime Tower, Opposite Reliance Market, Parsik Nagar, Kharegaon, Kalwa, Thane, Maharashtra, 400605",9967815388,,0
Shaikh Villa,"Shop No 1, 2 & 3, Shaikh Villa, Sr No 82, Hissa No 3, Opposite Bhagwati Hospital, Samarth Chowk, West Badlapur, Maharastra, 421503",9718294275,4.9,816
Flagship Store Ayodhya Nagar,"4833/12B, Hadgal Complex, Ayodhya Nagar, Dr B.R Ambedkar Road, Kolhapur Circle, Ayodhya Nagar, Beside Uk27 Hotel, Belagavi, Karnataka, 590001",7428890148,4.9,5964
Sarjapur Main Road,"Plot No 1108, Sarjapur Village & Post, Anekal T, Bengaluru, Karnataka, 562125",9582426534,4.9,208
"Gandhi Bazaar, Basavanagudi","Shop No 85/4, Vaibhav Apartments, Gandhi Bazaar, Basavanagudi, Ramakrishna Ashram Circle, Bengaluru, Karnataka, 560004",7428890150,4.9,3305
Babusapalya,"17, CNR Layout Main Rd, Chikka Nanjunda Reddy Layout, Babusapalya, Mallappa Layout, Opposite New Udupi Grand Hotel, Hennur Gardens, Bengaluru, Karnataka, 560043",8929689741,4.9,915
Kasturi Nagar,"Ground Floor, 2M-427, NGEF Layout Ward No 84, 2nd G Main Road, B Channasandra, Kasturi Nagar, Bengaluru, Karnataka, 560043",9582451747,4.9,257
Flagship Store Court Road,"Ground Floor, Mahalakshmi Towers, Court Road, Near Big Bazaar, Udupi, Karnataka, 576101",8929346386,4.9,4103
Tilak Nagar,"D 118, Jail Road, Fateh Nagar, Tilak Nagar, Delhi, 110018",9999841457,4.9,1857
Sarita Vihar,"Shop No 1, Plot No 8, LSC Pocket H Market, Sarita Vihar Metro Station, Sarita Vihar, New Delhi, 110076",7428891188,4.8,1186
Thana,"Ground Floor, Highway Arcade, Teekay Junction, Thana, Kannur, Kerala, 670012",7065045316,4.9,1621
Kalpetta,"Chungam Junction, Near Chemmannur Jewellers, Kalpetta , Kerala, 673122",4936298088,,0
Pala,"Room No 20/413, Theruvil Building, Pala Muncipality, Lalam Village, Meenachalil Thaluk, Pala, Opposite Max, Kottayam, Kerala, 686575",7065045189,4.9,2355
Kollam Main Road,"Block No 177, Chinnakada, Kollam Andamamukkom, Main Road, Nedumangad, Beside Planet Fashion, Kollam, Kerala, 691001",9718292049,4.9,1556
DB Mall,"Khasra No 520, 521, 524, DB Mall, Unit No F2&3, 528 & 529, Racecourse Road, Opposite Railway Station, Gwalior, Madhya Pradesh, 474001",8929839065,4.9,1643
Pashan,"Shop No P/4, Om Shanti Complex, Vighnaharta Chowk, Sus Road, Pashan, Near Vighnaharta Mandir, Pune, Maharashtra, 411021",7428891185,4.7,512
Sagar Garden Mulund,"Shop No 6 & 7, Ground Floor, Sagar Garden Complex, Lbs Road, Mulund West, Opposite Vasant Oscar, Mumbai, Maharashtra, 400080",9873431464,4.9,1236
Chinchwad,"Shop No 1B & 2, Premier Plaza, F Wing, Old Mumbai Pune Highway, Chinchwad, Carnival Cinemas, Pune, Maharashtra, 411019",7428890142,4.7,973
Arvi Naka,"194, Gandhi Nagar, Arvi Naka, Wardha, Maharashtra 442001",9953101182,4.8,352
Ghansoli,"Shop No 13-14, Manoshi Complex, Plot No 5 & 6, Sector 3, Ghansoli, Navi Mumbai, Maharashtra, 400701",9643409271,4.9,466
Beed Bypass Road Aurangabad,"Shop No 2, Maru Plaza, Plot No 9 & 10, Gut No 115, Opposite Nayara Petrol Pump, Beed Bypass Road, Aurangabad, Maharashtra, 431122",8147208649,5.0,63
Savedi Road,"Shop No G11/G12, Kohinoor Plaza, Patrakar Chowk, Savedi, Manmad Road, Patrakar Chowk, Next To Lokmat House, Ahmednagar, Maharashtra, 414003",8929344394,4.8,1490
Sanjay Nagar,"Shop No 1, Gmr Layout, D Rajagopal Road, Sanjay Nagar, Rmv Hospital, Geddalahalli, Bengaluru, Karnataka, 560094",7428891199,4.8,377
Yeshwanthpur,"No 764/5, Ground Floor, B Narayanaswamappa Road, K N Extension, L N Colony, Yeswanthpur, Bengaluru, Karnataka, 560022",9582511370,4.9,321
Rajarajeshwari Nagar,"No 22/23, Ground Floor, TR Plaza, 2nd Cross, Halagevaderahalli, Shankarappa Layout, BEML 5th Stage, Rajarajeshwari Nagar, Bengaluru, Karnataka, 560098",9711619095,4.9,791
Kaikondahalli,"Shop 7 & 8, Sno 19/10, Chikkabellandur Road, Carmelaram, Doddakaneli, Kaikondrahalli, Opposite Dmart, Bengaluru, Karnataka, 560035",9311773743,4.8,820
General Cariappa Road,"Shop No 1861/A/846, Krishna Arcade, 2Nd Cross Road, General Cariappa Road, Next To Mg Road, K R Extension, Tumkur, Karnataka, 572101",7428890166,4.8,6422
Mathikere,"17, Ujjini Glitz, Hmt Main Road, Mathikere, Next To Poorvika, Bengaluru, Karnataka, 560056",8929121695,4.7,710
Flagship Store CMH Road Indiranagar,"No 505, Ground Floor, Kheny Plaza, Chinmaya Mission Hospital Road, Indira Nagar 1st Stage, Bengaluru, Karnataka, 560038",9582611487,4.8,1760
Rohtas Nagar Shahdara,"1/9635, Pratap Pura, Hanuman Road, Street No 5, Shahdara, Delhi, 110032",8929302322,4.9,393
Vegas Mall,"Shop No 90, Groud Floor, Block B, Vegas Mall, Near Sector 14 Metro Station, Sector 14, Dwarka, New Delhi, 110075",7042211409,4.9,1597
Flagship Store Malviya Nagar,"C 3, Ground Floor, Main Market, Malviya Nagar, New Delhi, 110017",9958481482,4.7,1266
Tri Nagar,"1955/A, Ground Floor, Ganesh Pura, Near Raj Nagar, Onkar Nagar, Tri Nagar, Delhi, 110035",9582613683,4.8,121
"Sector 15, Rohini","Ground Floor, Block F, Plot No 40, Pocket 15, Sector 15, Rohini, New Delhi, 110089",8447730334,4.9,1586
West Patel Nagar,"Shop No 4, Ground Floor, Main Market, West Patel Nagar, New Delhi, 110008",7065045129,4.9,852
Flagship Store Padivattom,"Shop No 33/19 B14, Ammus Arcade, Padivattom, Ernakulam, Opposite Kerala State Beverages Corporation, Kochi, Kerala, 682024",7428890109,4.9,3649
Kalathippady Kottayam,"Valayil Building, Kalathippady, Vadavathoor PO, Kottayam, Kerala, 686010",8289958761,,0
Ulloor,"Door No 6/1543, Kochulloor P O, Uloor, Kochulloor, Near Indian Oil Pump, Thiruvananthapuram, Kerala, 695011",8929341321,4.9,2069
Flagship Store Kanjikuzhy,"Building No 4/277B, Vetteel Estate, 26, Kanjikuzhy, Muttambalam, Vetteel Estate, Kottayam, Kerala, 686004",7428890131,4.9,3825
Pattom,"Ground Floor, Tc New No 14/3717, Old No 2/3496/4, Pattom, Pattom, Opposite Reliance Trends Pattom, Thiruvananthapuram, Kerala, 695004",7303282283,4.8,1927
Thalayolaparambu Kottayam,"Pallivathukkal Building, Vaikom Road, Opposite Canara Bank, Thalayolaparambu, Kottayam, Kerala, 686605",7204281760,,0
Sultan Bathery,"#24/1024 A, Maharaja Complex, Manikuni, Sulthan Bathery, Near Lulu Wedding, Wayanad, Kerala, 673592",9891895842,4.9,4211
Phoolbagh,"Ground Floor, City Square Building, Shop No G 3, G 4,G 13 & G 14, Near GDA Office, Sai Baba Mandir Road, Phool Bagh, Gwalior, Madhya Pradesh, 474002",9899409859,5.0,702
Gwalior,"R/0/770/44, Patankar Bazaar Lashkar, Patankar Bazaar, Near Shanti Nursing Home, Gwalior, Madhya Pradesh, 474001",8929330615,4.9,981
Chetakpuri,"Ground Floor, Shop No 3, Chetakpuri Main Road, Opposite Nirma Bhawan, Chetakpuri, Gwalior, 474001",8447907937,4.9,1138
University Road,"Ground Floor, Plot No 1, University Road, Adjacent to Navyug Hospital, Govindpuri, Gwalior, Madhya Pradesh, 474011",8929469731,4.9,733
Bhoidapada Vasai East,"Shop No 8, Rajprabha Landmark, Industrial Area, Near Zudio & Toyota Showroom, Bhoidapada, Vasai East, Vasai Maharashtra, 401208",9561481122,,0
Vijay Nagar Sangli,"Showroom No 2, Om Icon, Plot No 7, 35A/A1/1A, Vijay Naga Chowk, Miraj Road, Sangli, Maharashtra, 416415",7028592344,5.0,20
Mohammad Wadi Pune,"Shop No 44 & 45, S No 89 & 90, NIBM Annex Ground Floor, Opposite Sanket Park, Taluka Haveli, Village Mohammad Wadi, Pune, Maharashtra, 411060",9975186482,5.0,21
Ulwe,"Shop No 6 & 7, Radiant Sapphire, Plot No 179, Sector 9, Ulwe, Navi Mumbai, Maharashtra, 410206",9582334312,4.8,180
NIBM Pune,"Shop No 3, AMC Avenue, Opposite Raheja Vista, NIBM, Pune, Maharashtra, 411060",9975186466,4.9,29
Bibwewadi,"Shop No 11, Ground Floor, Solitaire World Square, Bibewewadi Market Yard, Phase 1, Ganga Dham, near Aai Mata Chowk, Pune, Maharashtra, 411037",8743083403,,0
"Orion Mall, Panvel","Shop No G-4, Orion Mall, Plot No 311, Forest Colony, Panvel, Near St Depot, Navi Mumbai, Maharashtra, 410206",9582961434,4.7,638
Ulhasnagar,"Shop No 1, Majestic Square, Block No C 2 and C 3, Next to ICICI Bank, Netaji Chowk, Ulhasnagar, Thane, Maharashtra, 421004",9582508981,4.9,543
Sarjapur Natura Walk,"No 46, Yamare Village, Sarjapur Natura Walk Hobli, Anekal Taluk, Bengaluru, Karnataka, 562125",9711984244,4.8,833
Hanuman Circle Tenkapet,"VK Paradise, Ground Floor, Moodanidambur Village, Hanuman Circle, Tenkapet, Sanskrit College Road, Udupi, Karnataka, 576101",7291082898,5.0,101
Cox Town,"Ground Floor, 32/1, Ramakrishnappa Road, Doddakunte Circle, Near Yamaha Service Center, Cox Town, Bengaluru, Karnataka, 560005",8929082316,4.9,546
Rajaji Nagar 2,"Shop No 706, Ground Floor, 2Nd Stage, 9Th Cross, Dr. Modi Road, Rajaji Nagar, Next To Hotel Kadamba, Bengaluru, Karnataka, 560086",7428891210,4.7,675
Vijayanagar,"#41, 1st Floor, 17th Cross Road, MRCR Layout, Vijayanagar",9582271461,4.7,1082
Hosa Road,"Site No 88 & 89, Parappana Agrahara Village, Hosa Road, Meenakshi Layout, Begur Hobbli, South Taluk, Bengaluru, Karnataka, 560100",9582596508,4.8,167
Yusuf Sarai,"24 1/4, Ground Floor, Shop No 1, Besides Green Park Metro Station Gate No 4, Yusuf Sarai, New Delhi, 110016",7838225457,4.9,767
CR Park,"Plot No K1/78, Ground Floor, Pocket K1, Chittaranjan Park, New Delhi, 110019",7291070327,5.0,102
Harsh Vihar Pitampura,"Shop No 57, Ground Floor, Harsh Vihar, Pitampura, Delhi, 110034",8929167190,4.8,251
Shalimar Bagh,"AG-44, Block AG, Poorbi Shalimar Bagh, New Delhi, 110088",9899410948,4.8,391
Bhera Enclave,"412 Ground Floor, Bhera Enclave, Pashchim Vihar, Delhi, 110087",8929261375,4.9,349
Kohat Enclave Pitampura,"KD 81, Shop No 3 & 4, Pitampura, Near Kohat Enclave Metro Station, Delhi, 110034",8929327325,4.9,655
Kattappana,"First Floor, Padinjattethil Complex, Near Head Post Office, Idukki Kavala, Kattappana, Kerala, 685508",9582355940,,0
Central Mall of Emad,"Ground Floor, Central Mall of Emad, Near New Private Bus Stand, Thavakkara, Kannur, Kerala, 670001",7065045131,4.9,2857
Kundara Taluk Kollam,"Ground Floor, Block No 10, Village And Mandal Tadeppalli Panchayath Area Farkka, Kundara Taluk, Kollam, Kerala, 691501",7204242349,5.0,19
